등록번호,상호,소재지,대표자,사무소전화번호,상태,데이터기준일자
11260-2015-00085,송파아이파크부동산공인중개사사무소,"서울특별시 송파구 법원로 55 상가B-102호 (문정동, 송파아이파크)",김익현,02-449-5225,영업중,2024-08-12
11710-2015-00012,한양공인중개사사무소,"서울특별시 송파구 위례성대로 158 113호 (오금동, 대림아파트상가)",이상일,02-408-1100,영업중,2024-08-12
11710-2015-00015,우리공인중개사사무소,"서울특별시 송파구 올림픽로37길 130 상가A동 157호(신천동, 파크리오)",윤복선,02-412-0042,영업중,2024-08-12
11710-2015-00020,명진공인중개사사무소,서울특별시 송파구 송파대로14길 7-10 1층(문정동),주영주,02-403-8945,영업중,2024-08-12
11710-2015-00021,잠실부동산공인중개사사무소,서울특별시 송파구 올림픽로12길 24 (잠실동),홍광식,02-417-7800,영업중,2024-08-12
11710-2015-00022,태양공인중개사사무소,서울특별시 송파구 백제고분로18길 23 1층3호 (잠실동),배혜경,02-419-3999,영업중,2024-08-12
11710-2015-00025,한일공인중개사사무소,서울특별시 송파구 오금로36길 16 (가락동),심선,02-404-8393,영업중,2024-08-12
11710-2015-00062,황금공인중개사사무소,서울특별시 송파구 성내천로 129 105호 (마천동),이순녀,02-409-8959,영업중,2024-08-12
11710-2015-00063,오렌지공인중개사사무소,"서울특별시 송파구 송파대로 345 1A동 1072호(가락동,헬리오시티)",정병일,02-422-9977,영업중,2024-08-12
11710-2015-00064,대한공인중개사사무소,서울특별시 송파구 백제고분로45길 26 1층 (송파동),이순희,02-424-2303,영업중,2024-08-12
11710-2015-00071,플러스공인중개사사무소,서울특별시 송파구 백제고분로40길 16 1층 (석촌동),박종욱,02-417-2885,영업중,2024-08-12
11710-2015-00073,럭키공인중개사사무소,서울특별시 송파구 백제고분로22길 7 (삼전동),오선탁,02-416-8480,영업중,2024-08-12
11710-2015-00077,국민공인중개사사무소,"서울특별시 송파구 성내천로 42 101호  (오금동, 오금엘리시아)",문정자,02-406-4585,영업중,2024-08-12
11710-2015-00085,미래공인중개사사무소,"서울특별시 송파구 거마로 43 상가동 105호 (거여동, 현대3차아파트)",신경순,02-407-4949,영업중,2024-08-12
11710-2015-00095,위례집주름공인중개사사무소,"서울특별시 송파구 위례광장로 120 상가동 119호 (장지동, 위례중앙푸르지오1단지)",성현주,02-407-0077,영업중,2024-08-12
11710-2015-00097,올림픽공인중개사사무소,"서울특별시 송파구 올림픽로 88 103호 (잠실동, 올림픽타워)",조민기,02-422-3114,영업중,2024-08-12
11710-2015-00098,호수공인중개사사무소,서울특별시 송파구 백제고분로45길 16 1층 (송파동),이상미,02-417-0330,영업중,2024-08-12
11710-2015-00107,래미안하나로공인중개사사무소,"서울특별시 송파구 동남로 227 상가동 105호 (가락동, 래미안파크팰리스)",박성일,02-401-5200,영업중,2024-08-12
11710-2015-00112,래미안탑공인중개사사무소,"서울특별시 송파구 문정로 83 상가동 127,128호 (문정동, 문정래미안아파트)",박산미,02-401-1105,영업중,2024-08-12
11710-2015-00116,복음공인중개사사무소,"서울특별시 송파구 석촌호수로 61 상가동 156호 (잠실동, 트리지움)",강선이,02-418-3700,영업중,2024-08-12
11710-2015-00121,세진공인중개사사무소,"서울특별시 송파구 오금로17길 17 1층 (방이동, 은성빌딩)",주미영,02-418-4477,영업중,2024-08-12
11710-2015-00123,상상공인중개사사무소,서울특별시 송파구 백제고분로39길 8 1층 (석촌동),변현수,02-416-4116,영업중,2024-08-12
11710-2015-00136,금탑공인중개사사무소,"서울특별시 송파구 백제고분로39길 12 103호 (석촌동, 서희빌딩)",임창미,02-418-9877,영업중,2024-08-12
11710-2015-00139,(단지내)황금공인중개사사무소,"서울특별시 송파구 송파대로 345 1A동 1097호 (가락동, 헬리오시티)",윤윤숙,02-418-4959,영업중,2024-08-12
11710-2015-00140,대지공인중개사사무소,서울특별시 송파구 가락로11길 35 1층(석촌동),윤여학,02-416-1444,영업중,2024-08-12
